"pressure","velocity:0","velocity:1","velocity:2","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.74571,0,0,0,1,1,0,0.05,0,0
0.74575,0.0027711,-3.5368e-06,0,1,1,0.0002,0.05,0.0002,0
0.74578,0.0055421,-7.0736e-06,0,1,1,0.0004,0.05,0.0004,0
0.74581,0.0083131,-1.061e-05,0,1,1,0.0006,0.05,0.0006,0
0.74585,0.011084,-1.4147e-05,0,1,1,0.0008,0.05,0.0008,0
0.74588,0.013855,-1.7684e-05,0,1,1,0.001,0.05,0.001,0
0.74591,0.016626,-2.1221e-05,0,1,1,0.0012,0.05,0.0012,0
0.74595,0.019397,-2.4757e-05,0,1,1,0.0014,0.05,0.0014,0
0.74598,0.022168,-2.8294e-05,0,1,1,0.0016,0.05,0.0016,0
0.74601,0.024939,-3.1831e-05,0,1,1,0.0018,0.05,0.0018,0
0.74552,0.027145,-2.1203e-05,0,1,1,0.002,0.05,0.002,0
0.74499,0.029326,-9.9655e-06,0,1,1,0.0022,0.05,0.0022,0
0.74447,0.031507,1.2721e-06,0,1,1,0.0024,0.05,0.0024,0
0.74395,0.033688,1.251e-05,0,1,1,0.0026,0.05,0.0026,0
0.74343,0.03587,2.3747e-05,0,1,1,0.0028,0.05,0.0028,0
0.74291,0.038051,3.4985e-05,0,1,1,0.003,0.05,0.003,0
0.74249,0.040211,4.3779e-05,0,1,1,0.0032,0.05,0.0032,0
0.74252,0.04209,4.0015e-05,0,1,1,0.0034,0.05,0.0034,0
0.74251,0.04378,3.4748e-05,0,1,1,0.0036,0.05,0.0036,0
0.74249,0.04547,2.9481e-05,0,1,1,0.0038,0.05,0.0038,0
0.74248,0.04716,2.4214e-05,0,1,1,0.004,0.05,0.004,0
0.74247,0.048849,1.8947e-05,0,1,1,0.0042,0.05,0.0042,0
0.74246,0.050539,1.368e-05,0,1,1,0.0044,0.05,0.0044,0
0.74245,0.052229,8.4133e-06,0,1,1,0.0046,0.05,0.0046,0
0.74244,0.053919,3.1463e-06,0,1,1,0.0048,0.05,0.0048,0
0.74241,0.055437,3.2873e-06,0,1,1,0.005,0.05,0.005,0
0.74246,0.056783,4.4846e-06,0,1,1,0.0052,0.05,0.0052,0
0.74265,0.057965,2.291e-06,0,1,1,0.0054,0.05,0.0054,0
0.74284,0.059146,9.7391e-08,0,1,1,0.0056,0.05,0.0056,0
0.74304,0.060328,-2.0962e-06,0,1,1,0.0058,0.05,0.0058,0
0.74323,0.06151,-4.2898e-06,0,1,1,0.006,0.05,0.006,0
0.74342,0.062692,-6.4834e-06,0,1,1,0.0062,0.05,0.0062,0
0.74361,0.063874,-8.677e-06,0,1,1,0.0064,0.05,0.0064,0
0.74381,0.065056,-1.0871e-05,0,1,1,0.0066,0.05,0.0066,0
0.744,0.066238,-1.3064e-05,0,1,1,0.0068,0.05,0.0068,0
0.74404,0.067228,-1.7909e-05,0,1,1,0.007,0.05,0.007,0
0.74402,0.068018,-2.2686e-05,0,1,1,0.0072,0.05,0.0072,0
0.74403,0.068612,-2.4535e-05,0,1,1,0.0074,0.05,0.0074,0
0.74404,0.069206,-2.6383e-05,0,1,1,0.0076,0.05,0.0076,0
0.74405,0.0698,-2.8232e-05,0,1,1,0.0078,0.05,0.0078,0
0.74406,0.070394,-3.0081e-05,0,1,1,0.008,0.05,0.008,0
0.74407,0.070988,-3.1929e-05,0,1,1,0.0082,0.05,0.0082,0
0.74408,0.071582,-3.3778e-05,0,1,1,0.0084,0.05,0.0084,0
0.74409,0.072177,-3.5627e-05,0,1,1,0.0086,0.05,0.0086,0
0.7441,0.072771,-3.7475e-05,0,1,1,0.0088,0.05,0.0088,0
0.74414,0.073173,-3.7286e-05,0,1,1,0.009,0.05,0.009,0
0.74419,0.073377,-3.5814e-05,0,1,1,0.0092,0.05,0.0092,0
0.74424,0.073381,-3.3864e-05,0,1,1,0.0094,0.05,0.0094,0
0.74428,0.073386,-3.1915e-05,0,1,1,0.0096,0.05,0.0096,0
0.74433,0.073391,-2.9965e-05,0,1,1,0.0098,0.05,0.0098,0
0.74438,0.073395,-2.8015e-05,0,1,1,0.01,0.05,0.01,0
0.74443,0.0734,-2.6066e-05,0,1,1,0.0102,0.05,0.0102,0
0.74448,0.073404,-2.4116e-05,0,1,1,0.0104,0.05,0.0104,0
0.74453,0.073409,-2.2166e-05,0,1,1,0.0106,0.05,0.0106,0
0.74457,0.073413,-2.0217e-05,0,1,1,0.0108,0.05,0.0108,0
0.74463,0.073297,-1.994e-05,0,1,1,0.011,0.05,0.011,0
0.74465,0.072923,-2.1899e-05,0,1,1,0.0112,0.05,0.0112,0
0.74458,0.072323,-2.3611e-05,0,1,1,0.0114,0.05,0.0114,0
0.74451,0.071723,-2.5324e-05,0,1,1,0.0116,0.05,0.0116,0
0.74444,0.071123,-2.7036e-05,0,1,1,0.0118,0.05,0.0118,0
0.74438,0.070523,-2.8748e-05,0,1,1,0.012,0.05,0.012,0
0.74431,0.069923,-3.046e-05,0,1,1,0.0122,0.05,0.0122,0
0.74424,0.069323,-3.2173e-05,0,1,1,0.0124,0.05,0.0124,0
0.74417,0.068723,-3.3885e-05,0,1,1,0.0126,0.05,0.0126,0
0.74411,0.068123,-3.5597e-05,0,1,1,0.0128,0.05,0.0128,0
0.74404,0.067419,-3.562e-05,0,1,1,0.013,0.05,0.013,0
0.74392,0.066353,-3.4248e-05,0,1,1,0.0132,0.05,0.0132,0
0.74377,0.065181,-3.3789e-05,0,1,1,0.0134,0.05,0.0134,0
0.74361,0.064009,-3.3329e-05,0,1,1,0.0136,0.05,0.0136,0
0.74346,0.062838,-3.287e-05,0,1,1,0.0138,0.05,0.0138,0
0.74331,0.061666,-3.241e-05,0,1,1,0.014,0.05,0.014,0
0.74315,0.060494,-3.1951e-05,0,1,1,0.0142,0.05,0.0142,0
0.743,0.059323,-3.1491e-05,0,1,1,0.0144,0.05,0.0144,0
0.74285,0.058151,-3.1032e-05,0,1,1,0.0146,0.05,0.0146,0
0.74269,0.05698,-3.0572e-05,0,1,1,0.0148,0.05,0.0148,0
0.74262,0.055635,-2.77e-05,0,1,1,0.015,0.05,0.015,0
0.74261,0.054114,-2.4708e-05,0,1,1,0.0152,0.05,0.0152,0
0.74261,0.052429,-2.3981e-05,0,1,1,0.0154,0.05,0.0154,0
0.74262,0.050743,-2.3254e-05,0,1,1,0.0156,0.05,0.0156,0
0.74263,0.049058,-2.2527e-05,0,1,1,0.0158,0.05,0.0158,0
0.74263,0.047373,-2.18e-05,0,1,1,0.016,0.05,0.016,0
0.74264,0.045687,-2.1073e-05,0,1,1,0.0162,0.05,0.0162,0
0.74265,0.044002,-2.0346e-05,0,1,1,0.0164,0.05,0.0164,0
0.74266,0.042316,-1.9619e-05,0,1,1,0.0166,0.05,0.0166,0
0.74267,0.040528,-2.1214e-05,0,1,1,0.0168,0.05,0.0168,0
0.74295,0.038371,-2.2384e-05,0,1,1,0.017,0.05,0.017,0
0.7434,0.03615,-1.8651e-05,0,1,1,0.0172,0.05,0.0172,0
0.74386,0.033929,-1.4918e-05,0,1,1,0.0174,0.05,0.0174,0
0.74432,0.031708,-1.1185e-05,0,1,1,0.0176,0.05,0.0176,0
0.74477,0.029486,-7.4519e-06,0,1,1,0.0178,0.05,0.0178,0
0.74523,0.027265,-3.7188e-06,0,1,1,0.018,0.05,0.018,0
0.74568,0.025044,1.4325e-08,0,1,1,0.0182,0.05,0.0182,0
0.74561,0.022301,2.7796e-07,0,1,1,0.0184,0.05,0.0184,0
0.7455,0.019514,2.4322e-07,0,1,1,0.0186,0.05,0.0186,0
0.74538,0.016726,2.0848e-07,0,1,1,0.0188,0.05,0.0188,0
0.74527,0.013938,1.7374e-07,0,1,1,0.019,0.05,0.019,0
0.74515,0.011151,1.39e-07,0,1,1,0.0192,0.05,0.0192,0
0.74504,0.008363,1.0426e-07,0,1,1,0.0194,0.05,0.0194,0
0.74492,0.0055753,6.9519e-08,0,1,1,0.0196,0.05,0.0196,0
0.7448,0.0027877,3.4779e-08,0,1,1,0.0198,0.05,0.0198,0
0.74469,6.2666e-09,3.9395e-11,0,1,1,0.02,0.05,0.02,0
