"displacement:0","displacement:1","displacement:2","displacement loads:0","displacement loads:1","displacement loads:2","displacement_magnitude","displacement_vector_derived:0","displacement_vector_derived:1","displacement_vector_derived:2","engineering_shear_strain_xy_derived","max_principal_strain_derived","strain_plane_derived:0","strain_plane_derived:1","strain_plane_derived:2","strain_xx_derived","strain_yy_derived","stress_plane_derived_pa:0","stress_plane_derived_pa:1","stress_plane_derived_pa:2","stress_xx","stress_xx_derived_pa","stress_xy","stress_xy_derived_pa","stress_xz","stress_yy","stress_yy_derived_pa","stress_yz","stress_zz","von_mises_derived_pa","vonmises","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.2205e-05,1.1027e-05,0,1.7753e-09,1.6298e-09,0,9.2862e-05,9.2205e-05,1.1027e-05,0,3.5529e-06,8.1951e-06,8.0778e-06,-1.8703e-05,3.5529e-06,8.0778e-06,-1.8703e-05,5.6932e+05,-3.7567e+06,2.8696e+05,5.3103e+05,5.6932e+05,2.5033e+05,2.8696e+05,0,-3.8261e+06,-3.7567e+06,0,0,4.1016e+06,4.1402e+06,1,1,0,0,0.05,0
9.2237e-05,1.2573e-06,0,-3.0048e-09,1.3482e-10,0,9.2612e-05,9.2237e-05,1.2573e-06,0,2.421e-06,9.6729e-06,9.4083e-06,-2.0375e-05,2.421e-06,9.4083e-06,-2.0375e-05,7.6053e+05,-4.0507e+06,1.9555e+05,6.0344e+05,7.6053e+05,2.0275e+05,1.9555e+05,0,-4.0095e+06,-4.0507e+06,0,0,4.5531e+06,4.4165e+06,1,1,0.005,0.005,0.05,0
9.2278e-05,-8.5172e-06,0,-7.1582e-09,-3.8538e-10,0,9.2861e-05,9.2278e-05,-8.5172e-06,0,-9.575e-07,1.1573e-05,1.1103e-05,-2.2643e-05,-9.575e-07,1.1103e-05,-2.2643e-05,9.946e+05,-4.4567e+06,-77336,7.5788e+05,9.946e+05,-25219,-77336,0,-4.4097e+06,-4.4567e+06,0,0,5.1577e+06,4.9585e+06,1,1,0.01,0.01,0.05,0
9.2343e-05,-1.8305e-05,0,-9.7954e-09,1.453e-09,0,9.4319e-05,9.2343e-05,-1.8305e-05,0,-9.772e-06,1.4496e-05,1.3679e-05,-2.6351e-05,-9.772e-06,1.3679e-05,-2.6351e-05,1.3324e+06,-5.134e+06,-7.8928e+05,1.1108e+06,1.3324e+06,-6.8964e+05,-7.8928e+05,0,-5.3342e+06,-5.134e+06,0,0,6.1324e+06,6.1435e+06,1,1,0.015,0.015,0.05,0
9.2419e-05,-2.8124e-05,0,-2.2664e-09,6.4261e-10,0,9.6852e-05,9.2419e-05,-2.8124e-05,0,-2.1414e-05,1.9161e-05,1.6379e-05,-2.8337e-05,-2.1414e-05,1.6379e-05,-2.8337e-05,1.818e+06,-5.4053e+06,-1.7296e+06,1.8158e+06,1.818e+06,-1.7207e+06,-1.7296e+06,0,-5.4598e+06,-5.4053e+06,0,0,7.2708e+06,7.3573e+06,1,1,0.02,0.02,0.05,0
9.2505e-05,-3.7973e-05,0,6.4497e-09,7.9067e-10,0,0.00010017,9.2505e-05,-3.7973e-05,0,-3.3816e-05,2.3701e-05,1.797e-05,-2.8956e-05,-3.3816e-05,1.797e-05,-2.8956e-05,2.1422e+06,-5.4382e+06,-2.7313e+06,2.2764e+06,2.1422e+06,-2.8066e+06,-2.7313e+06,0,-5.3096e+06,-5.4382e+06,0,0,8.3359e+06,8.3975e+06,1,1,0.025,0.025,0.05,0
9.2598e-05,-4.7861e-05,0,5.2847e-09,5.9743e-09,0,0.00010446,9.2598e-05,-4.7861e-05,0,-4.5149e-05,2.6364e-05,1.6888e-05,-2.8162e-05,-4.5149e-05,1.6888e-05,-2.8162e-05,1.9477e+06,-5.3296e+06,-3.6467e+06,1.8851e+06,1.9477e+06,-3.651e+06,-3.6467e+06,0,-5.3126e+06,-5.3296e+06,0,0,9.1142e+06,9.0734e+06,1,1,0.03,0.03,0.05,0
9.2671e-05,-5.7772e-05,0,4.032e-09,5.0904e-09,0,0.00010945,9.2671e-05,-5.7772e-05,0,-5.4237e-05,2.8856e-05,1.5073e-05,-2.6024e-05,-5.4237e-05,1.5073e-05,-2.6024e-05,1.6766e+06,-4.9621e+06,-4.3807e+06,1.6773e+06,1.6766e+06,-4.4075e+06,-4.3807e+06,0,-4.9539e+06,-4.9621e+06,0,0,9.7473e+06,9.7795e+06,1,1,0.035,0.035,0.05,0
9.2745e-05,-6.77e-05,0,6.1414e-09,2.7224e-09,0,0.00011495,9.2745e-05,-6.77e-05,0,-6.2937e-05,3.106e-05,1.2683e-05,-2.3153e-05,-6.2937e-05,1.2683e-05,-2.3153e-05,1.324e+06,-4.4649e+06,-5.0833e+06,1.3949e+06,1.324e+06,-5.1678e+06,-5.0833e+06,0,-4.4484e+06,-4.4649e+06,0,0,1.0277e+07,1.042e+07,1,1,0.04,0.04,0.05,0
9.2799e-05,-7.7652e-05,0,-4.6549e-09,7.8063e-10,0,0.00012126,9.2799e-05,-7.7652e-05,0,-6.8379e-05,3.2702e-05,1.0195e-05,-1.9884e-05,-6.8379e-05,1.0195e-05,-1.9884e-05,9.761e+05,-3.8828e+06,-5.5229e+06,1.0129e+06,9.761e+05,-5.6074e+06,-5.5229e+06,0,-3.8877e+06,-3.8828e+06,0,0,1.0608e+07,1.0752e+07,1,1,0.045,0.045,0.05,0
