"a im","a re","b im:0","b im:1","b im:2","b re:0","b re:1","b re:2","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.011447,0,0,0,2.7893e-06,1.1466,0,2,1,0,-0.01,0,0
0,0.011332,0,0,0,1.6843e-06,1.1465,0,2,1,0.0001,-0.0099,0,0
0,0.011218,0,0,0,5.7929e-07,1.1465,0,2,1,0.0002,-0.0098,0,0
0,0.011103,0,0,0,-5.2574e-07,1.1465,0,2,1,0.0003,-0.0097,0,0
0,0.010988,0,0,0,-1.6308e-06,1.1465,0,2,1,0.0004,-0.0096,0,0
0,0.010874,0,0,0,-2.7358e-06,1.1465,0,2,1,0.0005,-0.0095,0,0
0,0.010759,0,0,0,-3.8408e-06,1.1465,0,2,1,0.0006,-0.0094,0,0
0,0.010645,0,0,0,-4.9458e-06,1.1464,0,2,1,0.0007,-0.0093,0,0
0,0.01053,0,0,0,-6.0509e-06,1.1464,0,2,1,0.0008,-0.0092,0,0
0,0.010415,0,0,0,-7.1559e-06,1.1464,0,2,1,0.0009,-0.0091,0,0
0,0.010301,0,0,0,-8.2609e-06,1.1464,0,2,1,0.001,-0.009,0,0
0,0.010186,0,0,0,-9.366e-06,1.1464,0,2,1,0.0011,-0.0089,0,0
0,0.010071,0,0,0,-1.0471e-05,1.1464,0,2,1,0.0012,-0.0088,0,0
0,0.0099567,0,0,0,-1.1417e-05,1.1463,0,2,1,0.0013,-0.0087,0,0
0,0.0098421,0,0,0,-1.1586e-05,1.1463,0,2,1,0.0014,-0.0086,0,0
0,0.0097274,0,0,0,-1.1756e-05,1.1463,0,2,1,0.0015,-0.0085,0,0
0,0.0096128,0,0,0,-1.1925e-05,1.1462,0,2,1,0.0016,-0.0084,0,0
0,0.0094982,0,0,0,-1.2094e-05,1.1462,0,2,1,0.0017,-0.0083,0,0
0,0.0093836,0,0,0,-1.2263e-05,1.1461,0,2,1,0.0018,-0.0082,0,0
0,0.009269,0,0,0,-1.2433e-05,1.1461,0,2,1,0.0019,-0.0081,0,0
0,0.0091543,0,0,0,-1.2602e-05,1.1461,0,2,1,0.002,-0.008,0,0
0,0.0090397,0,0,0,-1.2771e-05,1.146,0,2,1,0.0021,-0.0079,0,0
0,0.0089251,0,0,0,-1.2941e-05,1.146,0,2,1,0.0022,-0.0078,0,0
0,0.0088105,0,0,0,-1.311e-05,1.1459,0,2,1,0.0023,-0.0077,0,0
0,0.0086959,0,0,0,-1.3689e-05,1.1459,0,2,1,0.0024,-0.0076,0,0
0,0.0085813,0,0,0,-1.4275e-05,1.1458,0,2,1,0.0025,-0.0075,0,0
0,0.0084668,0,0,0,-1.4862e-05,1.1458,0,2,1,0.0026,-0.0074,0,0
