"temperature","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
400,1,1,0,0,0.005,0.005
399.5,1,1,5e-05,5e-05,0.005,0.005
399,1,1,0.0001,0.0001,0.005,0.005
398.5,1,1,0.00015,0.00015,0.005,0.005
398,1,1,0.0002,0.0002,0.005,0.005
397.49,1,1,0.00025,0.00025,0.005,0.005
396.99,1,1,0.0003,0.0003,0.005,0.005
396.49,1,1,0.00035,0.00035,0.005,0.005
395.99,1,1,0.0004,0.0004,0.005,0.005
395.49,1,1,0.00045,0.00045,0.005,0.005
394.99,1,1,0.0005,0.0005,0.005,0.005
394.49,1,1,0.00055,0.00055,0.005,0.005
393.99,1,1,0.0006,0.0006,0.005,0.005
393.48,1,1,0.00065,0.00065,0.005,0.005
392.98,1,1,0.0007,0.0007,0.005,0.005
392.48,1,1,0.00075,0.00075,0.005,0.005
391.98,1,1,0.0008,0.0008,0.005,0.005
391.48,1,1,0.00085,0.00085,0.005,0.005
390.98,1,1,0.0009,0.0009,0.005,0.005
390.48,1,1,0.00095,0.00095,0.005,0.005
389.98,1,1,0.001,0.001,0.005,0.005
389.47,1,1,0.00105,0.00105,0.005,0.005
388.97,1,1,0.0011,0.0011,0.005,0.005
388.47,1,1,0.00115,0.00115,0.005,0.005
387.97,1,1,0.0012,0.0012,0.005,0.005
387.47,1,1,0.00125,0.00125,0.005,0.005
386.97,1,1,0.0013,0.0013,0.005,0.005
386.47,1,1,0.00135,0.00135,0.005,0.005
385.97,1,1,0.0014,0.0014,0.005,0.005
385.46,1,1,0.00145,0.00145,0.005,0.005
384.96,1,1,0.0015,0.0015,0.005,0.005
384.46,1,1,0.00155,0.00155,0.005,0.005
383.96,1,1,0.0016,0.0016,0.005,0.005
383.46,1,1,0.00165,0.00165,0.005,0.005
382.96,1,1,0.0017,0.0017,0.005,0.005
382.46,1,1,0.00175,0.00175,0.005,0.005
381.96,1,1,0.0018,0.0018,0.005,0.005
381.45,1,1,0.00185,0.00185,0.005,0.005
380.95,1,1,0.0019,0.0019,0.005,0.005
380.45,1,1,0.00195,0.00195,0.005,0.005
379.95,1,1,0.002,0.002,0.005,0.005
379.45,1,1,0.00205,0.00205,0.005,0.005
378.95,1,1,0.0021,0.0021,0.005,0.005
378.45,1,1,0.00215,0.00215,0.005,0.005
377.95,1,1,0.0022,0.0022,0.005,0.005
377.44,1,1,0.00225,0.00225,0.005,0.005
376.94,1,1,0.0023,0.0023,0.005,0.005
376.44,1,1,0.00235,0.00235,0.005,0.005
375.94,1,1,0.0024,0.0024,0.005,0.005
375.44,1,1,0.00245,0.00245,0.005,0.005
374.94,1,1,0.0025,0.0025,0.005,0.005
374.44,1,1,0.00255,0.00255,0.005,0.005
373.94,1,1,0.0026,0.0026,0.005,0.005
373.44,1,1,0.00265,0.00265,0.005,0.005
372.94,1,1,0.0027,0.0027,0.005,0.005
372.44,1,1,0.00275,0.00275,0.005,0.005
371.94,1,1,0.0028,0.0028,0.005,0.005
371.43,1,1,0.00285,0.00285,0.005,0.005
370.93,1,1,0.0029,0.0029,0.005,0.005
370.43,1,1,0.00295,0.00295,0.005,0.005
369.93,1,1,0.003,0.003,0.005,0.005
369.43,1,1,0.00305,0.00305,0.005,0.005
368.93,1,1,0.0031,0.0031,0.005,0.005
368.43,1,1,0.00315,0.00315,0.005,0.005
367.93,1,1,0.0032,0.0032,0.005,0.005
367.43,1,1,0.00325,0.00325,0.005,0.005
366.93,1,1,0.0033,0.0033,0.005,0.005
366.43,1,1,0.00335,0.00335,0.005,0.005
365.93,1,1,0.0034,0.0034,0.005,0.005
365.43,1,1,0.00345,0.00345,0.005,0.005
364.93,1,1,0.0035,0.0035,0.005,0.005
364.43,1,1,0.00355,0.00355,0.005,0.005
363.93,1,1,0.0036,0.0036,0.005,0.005
363.43,1,1,0.00365,0.00365,0.005,0.005
362.92,1,1,0.0037,0.0037,0.005,0.005
362.42,1,1,0.00375,0.00375,0.005,0.005
361.92,1,1,0.0038,0.0038,0.005,0.005
361.42,1,1,0.00385,0.00385,0.005,0.005
360.92,1,1,0.0039,0.0039,0.005,0.005
360.42,1,1,0.00395,0.00395,0.005,0.005
359.92,1,1,0.004,0.004,0.005,0.005
359.42,1,1,0.00405,0.00405,0.005,0.005
